,title,price,link
0,The Definitive Guide to Power Query (M)  ,"1,520",http://amazon.in//Definitive-Guide-Power-Query-Transformation/dp/1835089720/ref=sr_1_1?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060644&sprefix=lapt%2Caps%2C198&sr=8-1
1,"Collect, Combine, and Transform Data Using Power Query in Excel and Power BI (Business Skills)  ","2,390.",http://amazon.in//Collect-Combine-Transform-Business-Skills-ebook/dp/B07HP9J35M/ref=sr_1_2?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060644&sprefix=lapt%2Caps%2C198&sr=8-2
2,Structured Query Language  ,300,http://amazon.in//Structured-Query-Language-SAKLANI/dp/8184122071/ref=sr_1_11?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060644&sprefix=lapt%2Caps%2C198&sr=8-11
3,SQL Queries for Mere Mortals: A Hands-On Guide to Data Manipulation in SQL  ,"4,777",http://amazon.in//SQL-Queries-Mere-Mortals-Hands/dp/0134858336/ref=sr_1_5?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-5
4,SQL Server Query Tuning and Optimization: Optimize Microsoft SQL Server 2022 queries and applications  ,"1,869",http://amazon.in//SQL-Server-Query-Tuning-Optimization/dp/1803242620/ref=sr_1_6?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-6
5,SQL Queries for Mere Mortals  ,900,http://amazon.in//Queries-Mere-Mortals-John-Viescas/dp/9332555346/ref=sr_1_7?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-7
6,"The Ultimate Power Query Cookbook for Power BI and Excel: Leveraging Power Query for collecting, combining and transforming your data  ",559,http://amazon.in//Ultimate-Power-Query-Cookbook-Excel/dp/9355517394/ref=sr_1_8?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-8
7,The Ultimate Guide to Functions in Power Query: Turn Raw Data into Actionable Insights  ,"3,611",http://amazon.in//Ultimate-Guide-Functions-Power-Query/dp/1484297539/ref=sr_1_9?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-9
8,Microsoft Excel Power Pivot & Power Query for Dummies  ,736,http://amazon.in//Microsoft-Excel-Power-Pivot-Dummies/dp/8126562307/ref=sr_1_10?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-10
9,Structured Query Language  ,300,http://amazon.in//Structured-Query-Language-SAKLANI/dp/8184122071/ref=sr_1_11?crid=1P0F954J3XGOI&dib=eyJ2IjoiMSJ9.M4Tv8crPqcWPyz8JM2ciWNcKyZhbvHd9xYL2Z8k4jWEFHfDXhp39o3dlxEOGB54VzrTIeY3JgLlr9kojT5M-AB9e4wpzFbOsUUGA2hRBZRRCTnLXG2yKWi1Wibbw7DEYlbSWv24jlstJoJJSYHaHh1vNB1vabtqQJfEtzWHdQs8rxx__TpYmJ62Sov2RCCgi3yUaWkBUfc7-2Zo91ckh1r6UjKMXWtBxorDj53JDRP7YQt5dJLznI-qLu5OKc28vHiZt8LSfEg7i9Bvw9IcMf0ynWe3HQxRnJ9XYwKqfffw.2lxECmWbI0AIMcZVllBnalgk5Ak61yVvdLcBYFOKR3I&dib_tag=se&keywords=%7Bquery%7D&qid=1726060662&sprefix=lapt%2Caps%2C198&sr=8-11
